ItemID,BillNo,Quantity,SellingDate,ItemName,SellingPriceDec
2,1403,1,"23","Veg Petty",8
2,117,2,"17","Veg Petty",8
2,21,2,"17","Veg Petty",8
2,22,2,"17","Veg Petty",8
2,23,1,"17","Veg Petty",8
2,24,2,"17","Veg Petty",8
2,26,2,"17","Veg Petty",8
2,30,2,"17","Veg Petty",8
2,27,2,"17","Veg Petty",8
2,445,2,"20","Veg Petty",8
2,1393,1,"23","Veg Petty",8
2,204,2,"17","Veg Petty",8
2,463,2,"20","Veg Petty",8
2,163,2,"17","Veg Petty",8
2,467,2,"20","Veg Petty",8
2,162,2,"17","Veg Petty",8
2,161,1,"17","Veg Petty",8
2,483,1,"20","Veg Petty",8
2,145,2,"17","Veg Petty",8
2,160,4,"17","Veg Petty",8
2,159,4,"17","Veg Petty",8
2,157,2,"17","Veg Petty",8
2,230,1,"17","Veg Petty",8
2,229,1,"17","Veg Petty",8
2,670,1,"22","Veg Petty",8
2,647,1,"21","Veg Petty",8
2,155,1,"17","Veg Petty",8
2,153,2,"17","Veg Petty",8
2,151,1,"17","Veg Petty",8
2,635,3,"21","Veg Petty",8
2,553,1,"21","Veg Petty",8
2,643,1,"21","Veg Petty",8
2,150,3,"17","Veg Petty",8
2,148,1,"17","Veg Petty",8
2,1727,1,"00","Veg Petty",8
2,642,1,"21","Veg Petty",8
2,438,1,"20","Veg Petty",8
2,147,1,"17","Veg Petty",8
2,146,2,"17","Veg Petty",8
2,1723,1,"00","Veg Petty",8
2,113,3,"17","Veg Petty",8
2,146,2,"17","Veg Petty",8
2,455,2,"21","Veg Petty",8
2,143,1,"17","Veg Petty",8
2,141,1,"17","Veg Petty",8
2,140,2,"17","Veg Petty",8
2,1646,1,"00","Veg Petty",8
2,460,1,"21","Veg Petty",8
2,227,2,"17","Veg Petty",8
2,139,2,"17","Veg Petty",8
2,137,2,"17","Veg Petty",8
2,1715,1,"00","Veg Petty",8
2,226,2,"17","Veg Petty",8
2,225,2,"17","Veg Petty",8
2,136,2,"17","Veg Petty",8
2,135,2,"17","Veg Petty",8
2,1588,1,"00","Veg Petty",8
2,215,2,"17","Veg Petty",8
2,3,2,"17","Veg Petty",8
2,1704,1,"00","Veg Petty",8
2,249,2,"18","Veg Petty",8
2,250,2,"18","Veg Petty",8
2,251,2,"18","Veg Petty",8
2,81,1,"17","Veg Petty",8
2,6,4,"17","Veg Petty",8
2,132,1,"17","Veg Petty",8
2,1553,1,"00","Veg Petty",8
2,252,2,"18","Veg Petty",8
2,131,2,"17","Veg Petty",8
2,130,1,"17","Veg Petty",8
2,129,1,"17","Veg Petty",8
2,7,1,"17","Veg Petty",8
2,128,2,"17","Veg Petty",8
2,127,2,"17","Veg Petty",8
2,124,1,"17","Veg Petty",8
2,9,2,"17","Veg Petty",8
2,254,2,"18","Veg Petty",8
2,122,3,"17","Veg Petty",8
2,10,1,"17","Veg Petty",8
2,119,1,"17","Veg Petty",8
2,100,1,"17","Veg Petty",8
2,94,1,"17","Veg Petty",8
2,255,1,"18","Veg Petty",8
2,1678,1,"00","Veg Petty",8
2,258,1,"18","Veg Petty",8
2,12,1,"17","Veg Petty",8
2,93,1,"17","Veg Petty",8
2,952,2,"22","Veg Petty",8
2,14,1,"17","Veg Petty",8
2,89,1,"17","Veg Petty",8
2,16,2,"17","Veg Petty",8
2,261,4,"18","Veg Petty",8
2,17,1,"17","Veg Petty",8
2,18,5,"17","Veg Petty",8
2,85,4,"17","Veg Petty",8
2,20,2,"17","Veg Petty",8
2,83,2,"17","Veg Petty",8
2,22,2,"17","Veg Petty",8
2,260,2,"18","Veg Petty",8
2,23,2,"17","Veg Petty",8
2,24,2,"17","Veg Petty",8
2,82,1,"17","Veg Petty",8
2,79,1,"17","Veg Petty",8
2,254,1,"18","Veg Petty",8
2,77,4,"17","Veg Petty",8
2,244,1,"18","Veg Petty",8
2,27,2,"17","Veg Petty",8
2,28,2,"17","Veg Petty",8
2,72,2,"17","Veg Petty",8
2,31,2,"17","Veg Petty",8
2,243,1,"18","Veg Petty",8
2,242,5,"18","Veg Petty",8
2,33,4,"17","Veg Petty",8
2,241,1,"18","Veg Petty",8
2,240,1,"18","Veg Petty",8
2,239,1,"18","Veg Petty",8
2,1590,1,"23","Veg Petty",8
2,192,2,"17","Veg Petty",8
2,1589,1,"23","Veg Petty",8
2,34,2,"17","Veg Petty",8
2,261,2,"18","Veg Petty",8
2,238,2,"18","Veg Petty",8
2,237,2,"18","Veg Petty",8
2,1615,1,"00","Veg Petty",8
2,262,12,"18","Veg Petty",8
2,1614,1,"00","Veg Petty",8
2,234,2,"18","Veg Petty",8
2,36,1,"17","Veg Petty",8
2,977,1,"23","Veg Petty",8
2,233,1,"18","Veg Petty",8
2,1609,1,"00","Veg Petty",8
2,37,1,"17","Veg Petty",8
2,232,2,"17","Veg Petty",8
2,265,4,"18","Veg Petty",8
2,1605,2,"00","Veg Petty",8
2,266,8,"18","Veg Petty",8
2,38,1,"17","Veg Petty",8
2,28,1,"17","Veg Petty",8
2,179,2,"17","Veg Petty",8
2,29,2,"17","Veg Petty",8
2,30,2,"17","Veg Petty",8
2,31,2,"17","Veg Petty",8
2,39,1,"17","Veg Petty",8
2,32,2,"17","Veg Petty",8
2,33,2,"17","Veg Petty",8
2,34,2,"17","Veg Petty",8
2,41,2,"17","Veg Petty",8
2,1590,1,"00","Veg Petty",8
2,35,1,"17","Veg Petty",8
2,36,2,"17","Veg Petty",8
2,37,1,"17","Veg Petty",8
2,38,2,"17","Veg Petty",8
2,1585,1,"23","Veg Petty",8
2,1584,1,"23","Veg Petty",8
2,39,2,"17","Veg Petty",8
2,43,1,"17","Veg Petty",8
2,44,1,"17","Veg Petty",8
2,47,6,"17","Veg Petty",8
2,40,4,"17","Veg Petty",8
2,41,2,"17","Veg Petty",8
2,49,1,"17","Veg Petty",8
2,42,2,"17","Veg Petty",8
2,50,2,"17","Veg Petty",8
2,44,1,"17","Veg Petty",8
2,45,2,"17","Veg Petty",8
2,46,1,"17","Veg Petty",8
2,48,2,"17","Veg Petty",8
2,51,2,"17","Veg Petty",8
2,52,2,"17","Veg Petty",8
2,53,2,"17","Veg Petty",8
2,49,2,"17","Veg Petty",8
2,50,4,"17","Veg Petty",8
2,52,2,"17","Veg Petty",8
2,200,2,"17","Veg Petty",8
2,54,2,"17","Veg Petty",8
2,1030,2,"23","Veg Petty",8
2,55,2,"17","Veg Petty",8
2,56,2,"17","Veg Petty",8
2,57,2,"17","Veg Petty",8
2,55,2,"17","Veg Petty",8
2,56,2,"17","Veg Petty",8
2,57,2,"17","Veg Petty",8
2,58,1,"17","Veg Petty",8
2,58,1,"17","Veg Petty",8
2,248,1,"18","Veg Petty",8
2,249,1,"18","Veg Petty",8
2,251,2,"18","Veg Petty",8
2,59,2,"17","Veg Petty",8
2,180,2,"17","Veg Petty",8
2,1055,2,"23","Veg Petty",8
2,252,1,"18","Veg Petty",8
2,60,2,"17","Veg Petty",8
2,1057,2,"23","Veg Petty",8
