BillNo,ItemID,Quantity,SellingDate,SellingPrice,StudentID,TransactionID,final_rating
224,154,1,21-08-20 20:32,22,F2227,1,4
224,154,1,27-08-20 21:14,22,F3444,2,4
224,155,1,12-08-20 22:42,27,F0000,2,4
224,155,1,24-08-20 20:34,27,F3139,2,2
224,161,2,16-08-20 22:07,12,F0000,1,5
224,169,1,29-08-20 20:32,25,F3404,1,5
224,173,1,25-08-20 20:53,45,F2487,2,4
225,2,1,22-08-20 20:38,8,F2095,2,1
225,12,1,20-08-20 20:57,30,F3271,2,3
225,14,1,23-08-20 20:37,10,F3380,1,2
225,107,1,25-08-20 20:53,10,F2219,1,4
225,108,1,20-08-20 20:57,20,F3271,1,2
225,124,1,25-08-20 20:53,25,F2219,2,5
225,124,1,28-08-20 20:34,25,F4841,1,5
225,124,3,27-08-20 21:14,25,F3444,1,4
225,128,1,13-08-20 22:31,25,F0000,2,5
225,130,1,27-08-20 21:14,21,F3444,2,3
225,130,1,27-08-20 21:14,21,F3444,3,5
225,133,1,17-08-20 20:47,21,F0000,1,4
225,135,1,12-08-20 22:42,21,F0000,1,4
225,135,2,16-08-20 22:08,21,F0000,2,3
225,136,1,22-08-20 20:38,25,F2095,1,2
225,139,1,17-08-20 20:47,21,F0000,3,3
225,146,1,29-08-20 20:32,85,F2758,1,5
225,148,1,16-08-20 22:08,90,F0000,1,5
225,151,2,29-08-20 20:32,12,F2758,2,1
225,154,1,13-08-20 22:31,22,F0000,1,5
225,154,1,15-08-20 22:37,22,F0000,1,3
225,154,1,18-08-20 20:39,22,F2295,2,3
225,154,1,21-08-20 20:32,22,F2227,1,3
225,154,1,24-08-20 20:34,22,F2587,1,5
225,154,1,25-08-20 20:53,22,F2219,3,4
225,154,1,27-08-20 21:14,22,F3444,4,5
225,154,4,19-08-20 20:29,22,F3429,1,4
225,155,1,15-08-20 22:37,27,F0000,2,2
225,155,1,26-08-20 20:49,27,F4202,1,2
225,156,1,16-08-20 22:08,30,F0000,3,4
225,159,1,18-08-20 20:39,20,F2295,1,5
225,159,1,25-08-20 20:53,20,F2219,4,3
225,161,1,14-08-20 22:46,12,F0000,1,5
225,161,1,17-08-20 20:47,12,F0000,2,1
225,169,1,27-08-20 21:14,25,F3444,5,3
226,16,6,16-08-20 22:09,5,F0000,1,4
226,74,1,19-08-20 20:29,25,F2042,1,4
226,123,1,21-08-20 20:33,8,F2298,1,2
226,128,1,12-08-20 22:43,25,F0000,1,3
226,128,1,24-08-20 20:34,25,F3869,1,4
226,135,1,15-08-20 22:37,21,F0000,1,5
226,139,1,13-08-20 22:31,21,F0000,1,1
226,146,1,29-08-20 20:32,85,F0000,1,3
226,151,2,22-08-20 20:38,12,F3151,2,3
226,151,3,27-08-20 21:14,12,F3792,2,1
226,151,3,28-08-20 20:34,12,F3742,2,1
226,154,1,20-08-20 20:57,22,F2246,1,3
226,154,1,23-08-20 20:37,22,F2519,3,3
226,155,1,18-08-20 20:39,27,F0000,1,4
226,156,1,14-08-20 22:46,30,F0000,1,5
226,159,1,17-08-20 20:47,20,F4374,1,2
226,161,1,23-08-20 20:37,12,F2519,2,2
