Consequent	Antecedent 	Support %	Confidence %
ItemName_Chese Burger	StudentIDval_2 and hours_20	1.192	12.5
ItemName_Paneer Franky	StudentIDval_4 and hours_22	1.192	12.5
ItemName_Paneer Franky	StudentIDval_3 and hours_22	1.192	12.5
ItemName_KADHAI PANEER	StudentIDval_4 and hours_20	1.192	12.5
ItemName_SNICKERS SNACK 	StudentIDval_2 and hours_24	1.192	12.5
ItemName_SNICKERS SNACK 	StudentIDval_5 and hours_21	1.192	12.5
ItemName_PEPSI 600ML	StudentIDval_5 and hours_21	1.192	12.5
ItemName_Butter Chicken	StudentIDval_4 and hours_20	1.192	12.5
ItemName_Butter Chicken	StudentIDval_2 and hours_20	1.192	12.5
ItemName_Masala Dosa	StudentIDval_5 and hours_21	1.192	12.5
ItemName_Plain Maggi	StudentIDval_4 and hours_22	1.192	12.5
ItemName_Plain Maggi	StudentIDval_2 and hours_24	1.192	12.5
ItemName_Plain Maggi	StudentIDval_3 and hours_22	1.192	12.5
ItemName_Chicken Sandwich	StudentIDval_4 and hours_22	1.192	12.5
ItemName_Chicken Sandwich	StudentIDval_4 and hours_20	1.192	12.5
ItemName_Chicken Sandwich	StudentIDval_2 and hours_20	1.192	12.5
ItemName_Chicken Sandwich	StudentIDval_2 and hours_24	1.192	12.5
ItemName_Chicken Sandwich	StudentIDval_3 and hours_22	1.192	12.5
ItemName_Chicken Sandwich	StudentIDval_5 and hours_21	1.192	12.5
ItemName_Chese Toast	StudentIDval_4 and hours_22	1.192	12.5
ItemName_Chese Toast	StudentIDval_4 and hours_20	1.192	12.5
ItemName_Chese Toast	StudentIDval_2 and hours_20	1.192	12.5
ItemName_Chese Toast	StudentIDval_2 and hours_24	1.192	12.5
ItemName_Chese Toast	StudentIDval_3 and hours_22	1.192	12.5
ItemName_Chese Toast	StudentIDval_5 and hours_21	1.192	12.5
ItemName_PULPY ORANGE	StudentIDval_4 and hours_22	1.192	12.5
ItemName_PULPY ORANGE	StudentIDval_4 and hours_20	1.192	12.5
ItemName_PULPY ORANGE	StudentIDval_2 and hours_20	1.192	12.5
ItemName_PULPY ORANGE	StudentIDval_2 and hours_24	1.192	12.5
ItemName_PULPY ORANGE	StudentIDval_3 and hours_22	1.192	12.5
ItemName_Butter Naan	StudentIDval_4 and hours_22	1.192	12.5
ItemName_Butter Naan	StudentIDval_4 and hours_20	1.192	12.5
ItemName_Butter Naan	StudentIDval_2 and hours_20	1.192	12.5
ItemName_Butter Naan	StudentIDval_2 and hours_24	1.192	12.5
ItemName_Butter Naan	StudentIDval_3 and hours_22	1.192	12.5
ItemName_Butter Naan	StudentIDval_5 and hours_21	1.192	12.5
ItemName_Ice Cream Shake	StudentIDval_4 and hours_22	1.192	12.5
ItemName_Ice Cream Shake	StudentIDval_4 and hours_20	1.192	12.5
ItemName_Ice Cream Shake	StudentIDval_2 and hours_20	1.192	12.5
ItemName_Ice Cream Shake	StudentIDval_2 and hours_24	1.192	12.5
ItemName_Ice Cream Shake	StudentIDval_3 and hours_22	1.192	12.5
ItemName_Ice Cream Shake	StudentIDval_5 and hours_21	1.192	12.5
ItemName_COKE MIX 600 ML	StudentIDval_4 and hours_22	1.192	12.5
ItemName_COKE MIX 600 ML	StudentIDval_4 and hours_20	1.192	12.5
ItemName_COKE MIX 600 ML	StudentIDval_2 and hours_20	1.192	12.5
ItemName_COKE MIX 600 ML	StudentIDval_2 and hours_24	1.192	12.5
ItemName_COKE MIX 600 ML	StudentIDval_3 and hours_22	1.192	12.5
ItemName_COKE MIX 600 ML	StudentIDval_5 and hours_21	1.192	12.5
ItemName_Plain Maggi	hours_25	9.985	11.94
ItemName_Chese Toast	StudentIDval_4	7.601	11.765
ItemName_COKE MIX 600 ML	StudentIDval_5	10.134	11.765
ItemName_Chese Toast	StudentIDval_2	7.75	11.538
ItemName_COKE MIX 600 ML	StudentIDval_2	7.75	11.538
ItemName_PULPY LEMON	hours_17 and StudentIDval_8	1.341	11.111
ItemName_MIX JUICE	hours_17 and StudentIDval_8	1.341	11.111
ItemName_BINOG CHIP @10	hours_17 and StudentIDval_8	1.341	11.111
ItemName_CAKE SANDWICH	hours_25 and StudentIDval_1	1.341	11.111
ItemName_Pastry	hours_17 and StudentIDval_8	1.341	11.111
ItemName_Paneer Franky	StudentIDval_2 and hours_22	1.341	11.111
ItemName_Paneer Franky	StudentIDval_2 and hours_23	1.341	11.111
ItemName_DEW MIX	hours_17 and StudentIDval_8	1.341	11.111
ItemName_CHCO PIE	StudentIDval_3 and hours_24	1.341	11.111
ItemName_CHCO PIE	hours_25 and StudentIDval_1	1.341	11.111
ItemName_SNICKERS SNACK 	StudentIDval_3 and hours_24	1.341	11.111
ItemName_SNICKERS SNACK 	hours_25 and StudentIDval_1	1.341	11.111
ItemName_Veg Petty	hours_17 and StudentIDval_8	1.341	11.111
ItemName_SAMOSA CHAT	hours_17 and StudentIDval_8	1.341	11.111
ItemName_Masala Dosa	StudentIDval_2 and hours_22	1.341	11.111
ItemName_Masala Dosa	StudentIDval_2 and hours_23	1.341	11.111
ItemName_Plain Maggi	StudentIDval_2 and hours_22	1.341	11.111
ItemName_Plain Maggi	StudentIDval_2 and hours_23	1.341	11.111
ItemName_Plain Maggi	StudentIDval_3 and hours_24	1.341	11.111
ItemName_Plain Maggi	hours_25 and StudentIDval_1	1.341	11.111
ItemName_PULPY ORANGE	hours_17 and StudentIDval_8	1.341	11.111
ItemName_COKE MIX 600 ML	hours_17 and StudentIDval_8	1.341	11.111
ItemName_Chicken Sandwich	StudentIDval_2 and hours_22	1.341	11.111
ItemName_Chicken Sandwich	StudentIDval_2 and hours_23	1.341	11.111
ItemName_Chicken Sandwich	StudentIDval_3 and hours_24	1.341	11.111
ItemName_Chese Toast	StudentIDval_2 and hours_22	1.341	11.111
ItemName_Chese Toast	StudentIDval_2 and hours_23	1.341	11.111
ItemName_Chese Toast	StudentIDval_3 and hours_24	1.341	11.111
ItemName_Chese Toast	hours_25 and StudentIDval_1	1.341	11.111
ItemName_PULPY ORANGE	StudentIDval_2 and hours_22	1.341	11.111
ItemName_PULPY ORANGE	StudentIDval_2 and hours_23	1.341	11.111
ItemName_PULPY ORANGE	StudentIDval_3 and hours_24	1.341	11.111
ItemName_PULPY ORANGE	hours_25 and StudentIDval_1	1.341	11.111
ItemName_Butter Naan	StudentIDval_2 and hours_22	1.341	11.111
ItemName_Butter Naan	StudentIDval_2 and hours_23	1.341	11.111
ItemName_Butter Naan	StudentIDval_3 and hours_24	1.341	11.111
ItemName_Butter Naan	hours_25 and StudentIDval_1	1.341	11.111
ItemName_Ice Cream Shake	StudentIDval_2 and hours_22	1.341	11.111
ItemName_Ice Cream Shake	StudentIDval_2 and hours_23	1.341	11.111
ItemName_Ice Cream Shake	StudentIDval_3 and hours_24	1.341	11.111
ItemName_Ice Cream Shake	hours_25 and StudentIDval_1	1.341	11.111
ItemName_COKE MIX 600 ML	StudentIDval_2 and hours_22	1.341	11.111
ItemName_COKE MIX 600 ML	StudentIDval_2 and hours_23	1.341	11.111
ItemName_COKE MIX 600 ML	StudentIDval_3 and hours_24	1.341	11.111
ItemName_COKE MIX 600 ML	hours_25 and StudentIDval_1	1.341	11.111
ItemName_Chese Toast	StudentIDval_3	8.197	10.909
ItemName_Ice Cream Shake	StudentIDval_3	8.197	10.909
ItemName_COKE MIX 600 ML	StudentIDval_3	8.197	10.909
ItemName_Butter Naan	StudentIDval_6	8.346	10.714
ItemName_Chese Toast	hours_25	9.985	10.448
ItemName_PULPY ORANGE	hours_18	2.981	10.0
ItemName_COKE MIX 600 ML	hours_18	2.981	10.0
ItemName_Chese Burger	StudentIDval_3 and hours_20	1.49	10.0
ItemName_Pasta	StudentIDval_6 and hours_22	1.49	10.0
ItemName_KADHAI PANEER	StudentIDval_3 and hours_20	1.49	10.0
ItemName_DEW MIX	StudentIDval_6 and hours_22	1.49	10.0
ItemName_Butter Chicken	StudentIDval_3 and hours_20	1.49	10.0
ItemName_Butter Chicken	StudentIDval_6 and hours_22	1.49	10.0
ItemName_Masala Dosa	StudentIDval_3 and hours_20	1.49	10.0
ItemName_Masala Dosa	StudentIDval_6 and hours_22	1.49	10.0
ItemName_Chicken Sandwich	StudentIDval_3 and hours_20	1.49	10.0
ItemName_Chicken Sandwich	StudentIDval_6 and hours_22	1.49	10.0
ItemName_Chese Toast	StudentIDval_3 and hours_20	1.49	10.0
ItemName_Chese Toast	StudentIDval_6 and hours_22	1.49	10.0
ItemName_PULPY ORANGE	StudentIDval_3 and hours_20	1.49	10.0
ItemName_PULPY ORANGE	StudentIDval_6 and hours_22	1.49	10.0
ItemName_Butter Naan	StudentIDval_3 and hours_20	1.49	10.0
ItemName_Butter Naan	StudentIDval_6 and hours_22	1.49	10.0
ItemName_Ice Cream Shake	StudentIDval_3 and hours_20	1.49	10.0
ItemName_Ice Cream Shake	StudentIDval_6 and hours_22	1.49	10.0
ItemName_COKE MIX 600 ML	StudentIDval_3 and hours_20	1.49	10.0
ItemName_COKE MIX 600 ML	StudentIDval_6 and hours_22	1.49	10.0
ItemName_Chicken Sandwich	StudentIDval_4	7.601	9.804
ItemName_PULPY ORANGE	StudentIDval_4	7.601	9.804
ItemName_Butter Naan	StudentIDval_4	7.601	9.804
ItemName_Ice Cream Shake	StudentIDval_7	7.601	9.804
ItemName_Ice Cream Shake	StudentIDval_4	7.601	9.804
ItemName_COKE MIX 600 ML	StudentIDval_4	7.601	9.804
ItemName_Chicken Sandwich	StudentIDval_2	7.75	9.615
ItemName_Butter Naan	StudentIDval_2	7.75	9.615
ItemName_Ice Cream Shake	StudentIDval_2	7.75	9.615
ItemName_Chicken Sandwich	StudentIDval_3	8.197	9.091
ItemName_Butter Naan	StudentIDval_3	8.197	9.091
ItemName_BOURNVILLE	StudentIDval_5 and hours_22	1.639	9.091
ItemName_Chese Burger	StudentIDval_1 and hours_22	1.639	9.091
ItemName_Veg Rice	StudentIDval_4 and hours_24	1.639	9.091
ItemName_CHIPS	StudentIDval_4 and hours_23	1.639	9.091
ItemName_CHIPS	StudentIDval_5 and hours_22	1.639	9.091
ItemName_Plain Dosa	StudentIDval_4 and hours_24	1.639	9.091
ItemName_Paneer Franky	StudentIDval_4 and hours_23	1.639	9.091
ItemName_Paneer Franky	StudentIDval_5 and hours_22	1.639	9.091
ItemName_Paneer Franky	StudentIDval_1 and hours_22	1.639	9.091
ItemName_Fried Maggi	StudentIDval_4 and hours_24	1.639	9.091
ItemName_DEW MIX	StudentIDval_1 and hours_22	1.639	9.091
ItemName_CHCO PIE	StudentIDval_4 and hours_23	1.639	9.091
ItemName_PEPSI 600ML	StudentIDval_4 and hours_24	1.639	9.091
ItemName_PEPSI 600ML	StudentIDval_5 and hours_22	1.639	9.091
ItemName_Butter Chicken	StudentIDval_5 and hours_22	1.639	9.091
ItemName_Masala Dosa	StudentIDval_4 and hours_23	1.639	9.091
ItemName_Masala Dosa	StudentIDval_1 and hours_22	1.639	9.091
ItemName_Plain Maggi	StudentIDval_4 and hours_23	1.639	9.091
ItemName_Plain Maggi	StudentIDval_4 and hours_24	1.639	9.091
