Consequent	Antecedent 	Support %	Confidence %
ItemName_BINOG CHIP @10	StudentIDval_5 and hours_23	2.495	7.692
ItemName_BINOG CHIP @10	StudentIDval_1 and hours_24	2.495	7.692
ItemName_Plain Maggi	StudentIDval_5 and hours_23	2.495	7.692
ItemName_Plain Maggi	StudentIDval_1 and hours_24	2.495	7.692
ItemName_Chicken Sandwich	StudentIDval_5 and hours_23	2.495	7.692
ItemName_Chicken Sandwich	StudentIDval_1 and hours_24	2.495	7.692
ItemName_Ice Cream Shake	StudentIDval_5 and hours_23	2.495	7.692
ItemName_Ice Cream Shake	StudentIDval_1 and hours_24	2.495	7.692
ItemName_Chese Toast	StudentIDval_5 and hours_23	2.495	7.692
ItemName_Chese Toast	StudentIDval_1 and hours_24	2.495	7.692
ItemName_COKE MIX 600 ML	StudentIDval_5 and hours_23	2.495	7.692
ItemName_COKE MIX 600 ML	StudentIDval_1 and hours_24	2.495	7.692
ItemName_Butter Naan	StudentIDval_5 and hours_23	2.495	7.692
ItemName_Butter Naan	StudentIDval_1 and hours_24	2.495	7.692
ItemName_Butter Chicken	StudentIDval_5	10.557	7.273
ItemName_BINOG CHIP @10	StudentIDval_5	10.557	7.273
ItemName_Plain Maggi	StudentIDval_5	10.557	7.273
ItemName_Chicken Sandwich	StudentIDval_5	10.557	7.273
ItemName_Ice Cream Shake	StudentIDval_5	10.557	7.273
ItemName_Ice Cream Shake	hours_20	15.931	7.229
ItemName_PULPY ORANGE	StudentIDval_3	8.061	7.143
ItemName_Plain Maggi	StudentIDval_3	8.061	7.143
ItemName_PULPY ORANGE	StudentIDval_2	8.253	6.977
ItemName_BINOG CHIP @10	StudentIDval_4	8.253	6.977
ItemName_Plain Maggi	StudentIDval_4	8.253	6.977
ItemName_Chicken Sandwich	StudentIDval_2	8.253	6.977
ItemName_Chicken Sandwich	StudentIDval_4	8.253	6.977
ItemName_Chese Burger	hours_22	19.386	6.931
ItemName_Masala Dosa	hours_23	19.386	6.931
ItemName_Plain Maggi	hours_23	19.386	6.931
ItemName_Ice Cream Shake	hours_23	19.386	6.931
ItemName_COKE MIX 600 ML	hours_22	19.386	6.931
ItemName_COKE MIX 600 ML	hours_23	19.386	6.931
ItemName_PULPY ORANGE	StudentIDval_1	11.132	6.897
ItemName_Masala Dosa	StudentIDval_1	11.132	6.897
ItemName_BINOG CHIP @10	hours_24	16.891	6.818
ItemName_Ice Cream Shake	hours_24	16.891	6.818
ItemName_Chicken Rice	StudentIDval_1 and hours_23	2.879	6.667
ItemName_Fried Maggi	StudentIDval_1 and hours_23	2.879	6.667
ItemName_KADHAI PANEER	StudentIDval_1 and hours_23	2.879	6.667
ItemName_Paneer Franky	StudentIDval_1 and hours_23	2.879	6.667
ItemName_Samosa	StudentIDval_1 and hours_23	2.879	6.667
ItemName_PULPY ORANGE	StudentIDval_1 and hours_23	2.879	6.667
ItemName_Butter Chicken	StudentIDval_1 and hours_23	2.879	6.667
ItemName_Masala Dosa	StudentIDval_1 and hours_23	2.879	6.667
ItemName_BINOG CHIP @10	StudentIDval_1 and hours_23	2.879	6.667
ItemName_Plain Maggi	StudentIDval_1 and hours_23	2.879	6.667
ItemName_Chicken Sandwich	StudentIDval_1 and hours_23	2.879	6.667
ItemName_Ice Cream Shake	StudentIDval_1 and hours_23	2.879	6.667
ItemName_Chese Toast	StudentIDval_1 and hours_23	2.879	6.667
ItemName_COKE MIX 600 ML	StudentIDval_1 and hours_23	2.879	6.667
ItemName_Butter Naan	StudentIDval_1 and hours_23	2.879	6.667
ItemName_Chese Burger	hours_21	14.779	6.494
ItemName_Butter Chicken	hours_21	14.779	6.494
ItemName_Masala Dosa	hours_20	15.931	6.024
ItemName_Chese Toast	hours_20	15.931	6.024
ItemName_KADHAI PANEER	StudentIDval_6	9.597	6.0
ItemName_Paneer Franky	hours_22	19.386	5.941
ItemName_Paneer Franky	hours_23	19.386	5.941
ItemName_BINOG CHIP @10	hours_23	19.386	5.941
ItemName_Plain Maggi	hours_22	19.386	5.941
ItemName_Chicken Rice	StudentIDval_7	6.718	5.714
ItemName_Plain Dosa	StudentIDval_7	6.718	5.714
ItemName_Chese Burger	StudentIDval_7	6.718	5.714
ItemName_Butter Chicken	StudentIDval_7	6.718	5.714
ItemName_CHCO PIE	hours_25	6.91	5.556
ItemName_Samosa	StudentIDval_5	10.557	5.455
ItemName_Chicken Sandwich	hours_21	14.779	5.195
ItemName_Paneer Franky	StudentIDval_1	11.132	5.172
ItemName_Chese Burger	StudentIDval_1	11.132	5.172
ItemName_Chicken Sandwich	StudentIDval_1	11.132	5.172
ItemName_Samosa	hours_23	19.386	4.95
ItemName_PULPY ORANGE	hours_23	19.386	4.95
ItemName_BINOG CHIP @10	hours_22	19.386	4.95
ItemName_KADHAI PANEER	hours_20	15.931	4.819
ItemName_Chicken Sandwich	hours_20	15.931	4.819
ItemName_Paneer Franky	StudentIDval_3	8.061	4.762
ItemName_DIGESTIVE	hours_25 and StudentIDval_8	4.031	4.762
ItemName_COOKIES	hours_25 and StudentIDval_8	4.031	4.762
ItemName_BIS GD CASHEW @10	hours_25 and StudentIDval_8	4.031	4.762
ItemName_Veg Rice	hours_25 and StudentIDval_8	4.031	4.762
ItemName_MAZZA PET 600 ML	hours_25 and StudentIDval_8	4.031	4.762
ItemName_Pasta	hours_25 and StudentIDval_8	4.031	4.762
ItemName_CAKE SANDWICH	hours_25 and StudentIDval_8	4.031	4.762
ItemName_Chicken Rice	hours_25 and StudentIDval_8	4.031	4.762
ItemName_Plain Dosa	hours_25 and StudentIDval_8	4.031	4.762
ItemName_CHCO PIE	hours_25 and StudentIDval_8	4.031	4.762
ItemName_KADHAI PANEER	hours_25 and StudentIDval_8	4.031	4.762
ItemName_Samosa	hours_25 and StudentIDval_8	4.031	4.762
ItemName_PULPY ORANGE	hours_25 and StudentIDval_8	4.031	4.762
ItemName_Butter Chicken	hours_25 and StudentIDval_8	4.031	4.762
ItemName_Masala Dosa	hours_25 and StudentIDval_8	4.031	4.762
ItemName_BINOG CHIP @10	hours_25 and StudentIDval_8	4.031	4.762
ItemName_Plain Maggi	hours_25 and StudentIDval_8	4.031	4.762
ItemName_Chicken Sandwich	hours_25 and StudentIDval_8	4.031	4.762
ItemName_Chese Toast	hours_25 and StudentIDval_8	4.031	4.762
ItemName_COKE MIX 600 ML	hours_25 and StudentIDval_8	4.031	4.762
ItemName_Butter Naan	hours_25 and StudentIDval_8	4.031	4.762
ItemName_Paneer Franky	StudentIDval_2	8.253	4.651
ItemName_Paneer Franky	StudentIDval_4	8.253	4.651
ItemName_Chese Burger	StudentIDval_2	8.253	4.651
ItemName_PULPY ORANGE	StudentIDval_4	8.253	4.651
ItemName_Masala Dosa	StudentIDval_2	8.253	4.651
ItemName_CHCO PIE	hours_24	16.891	4.545
ItemName_PULPY ORANGE	hours_24	16.891	4.545
ItemName_Masala Dosa	hours_24	16.891	4.545
ItemName_Veg Petty	StudentIDval_6	9.597	4.0
ItemName_Chese Burger	StudentIDval_6	9.597	4.0
ItemName_Samosa	StudentIDval_6	9.597	4.0
ItemName_PULPY ORANGE	hours_22	19.386	3.96
ItemName_Butter Chicken	hours_23	19.386	3.96
ItemName_Masala Dosa	hours_22	19.386	3.96
ItemName_COOKIES	hours_24 and StudentIDval_8	5.182	3.704
ItemName_DAIRY MILK SILKY	hours_24 and StudentIDval_8	5.182	3.704
ItemName_SNICKERS SNACK 	hours_24 and StudentIDval_8	5.182	3.704
ItemName_DAIRY MILK@35	hours_24 and StudentIDval_8	5.182	3.704
ItemName_BINOG CHIP @20	hours_24 and StudentIDval_8	5.182	3.704
ItemName_Onion Uttapam	hours_24 and StudentIDval_8	5.182	3.704
ItemName_CHI.PASTA	hours_24 and StudentIDval_8	5.182	3.704
ItemName_Egg Rice	hours_24 and StudentIDval_8	5.182	3.704
ItemName_Veg Rice	hours_24 and StudentIDval_8	5.182	3.704
ItemName_MAZZA PET 600 ML	hours_24 and StudentIDval_8	5.182	3.704
ItemName_Pasta	hours_24 and StudentIDval_8	5.182	3.704
ItemName_CAKE SANDWICH	hours_24 and StudentIDval_8	5.182	3.704
ItemName_Chicken Rice	hours_24 and StudentIDval_8	5.182	3.704
ItemName_Fried Maggi	hours_24 and StudentIDval_8	5.182	3.704
ItemName_Plain Dosa	hours_24 and StudentIDval_8	5.182	3.704
ItemName_CHCO PIE	hours_24 and StudentIDval_8	5.182	3.704
ItemName_KADHAI PANEER	hours_24 and StudentIDval_8	5.182	3.704
ItemName_PULPY ORANGE	hours_24 and StudentIDval_8	5.182	3.704
ItemName_Butter Chicken	hours_24 and StudentIDval_8	5.182	3.704
ItemName_Masala Dosa	hours_24 and StudentIDval_8	5.182	3.704
ItemName_BINOG CHIP @10	hours_24 and StudentIDval_8	5.182	3.704
ItemName_Plain Maggi	hours_24 and StudentIDval_8	5.182	3.704
ItemName_Chicken Sandwich	hours_24 and StudentIDval_8	5.182	3.704
ItemName_Ice Cream Shake	hours_24 and StudentIDval_8	5.182	3.704
ItemName_Chese Toast	hours_24 and StudentIDval_8	5.182	3.704
ItemName_COKE MIX 600 ML	hours_24 and StudentIDval_8	5.182	3.704
